comuna|fraccion|radio|manzana|nombre
13|6|1|3|NULL
13|7|2|3|NULL
13|8|3|3|NULL
13|9|2|3|NULL
13|11|1|3|NULL
13|12|1|3|NULL
13|13|1|3|NULL
13|14|1|3|NULL
13|15|2|3|NULL
13|16|2|3|NULL
13|18|2|3|NULL
13|19|1|3|NULL
13|20|3|3|NULL
13|21|3|3|NULL
13|22|3|3|NULL
13|23|1|3|NULL
13|24|3|3|NULL
13|25|1|3|NULL
13|26|1|3|NULL
13|27|3|3|NULL
13|28|2|3|NULL
13|29|2|3|NULL
14|1|3|3|NULL
14|2|3|3|NULL
14|3|2|3|NULL
14|4|2|3|NULL
14|7|3|3|NULL
14|12|5|3|NULL
14|13|2|3|NULL
14|14|6|3|NULL
14|15|7|3|NULL
14|16|5|3|NULL
14|17|2|3|NULL
14|18|1|3|NULL
14|19|3|3|NULL
14|20|3|3|NULL
14|21|2|3|NULL
14|22|1|3|NULL
14|23|1|3|NULL
14|24|3|3|NULL
14|25|3|3|NULL
14|26|2|3|NULL
14|27|5|3|NULL
14|28|10|3|NULL
14|29|2|3|NULL
14|30|3|3|NULL
14|31|1|3|NULL
15|1|1|3|NULL
15|2|2|3|NULL
15|3|2|3|NULL
15|4|2|3|NULL
15|5|1|3|NULL
15|6|1|3|NULL
15|8|2|3|NULL
15|10|2|3|NULL
15|11|2|3|NULL
15|12|7|3|NULL
15|13|4|3|NULL
15|14|9|3|NULL
15|15|10|3|NULL
15|16|2|3|NULL
15|17|3|3|NULL
15|18|5|3|NULL
15|19|2|3|NULL
15|20|5|3|NULL
15|21|2|3|NULL
4|27|2|3|NULL
5|3|12|3|NULL
5|21|12|3|NULL
8|18|6|3|NULL
1|10|15|3|NULL
4|6|12|3|NULL
7|23|10|3|NULL
11|16|11|3|NULL
12|2|9|3|NULL
12|21|12|3|NULL
13|10|12|3|NULL
13|17|13|3|NULL
14|6|12|3|NULL
14|8|12|3|NULL
14|9|15|3|NULL
14|11|15|3|NULL
1|2|21|3|NULL
1|1|1|4|NULL
1|3|1|4|NULL
1|4|2|4|NULL
1|5|1|4|NULL
1|6|3|4|NULL
1|7|2|4|NULL
1|8|3|4|NULL
1|9|3|4|NULL
1|10|2|4|NULL
1|11|4|4|NULL
1|12|9|4|NULL
1|13|1|4|NULL
1|14|1|4|NULL
1|15|1|4|NULL
1|17|2|4|NULL
1|18|2|4|NULL
1|19|4|4|NULL
1|20|3|4|NULL
1|21|2|4|NULL
1|22|1|4|NULL
1|23|5|4|NULL
1|24|1|4|NULL
1|25|3|4|NULL
1|26|4|4|NULL
1|27|2|4|NULL
1|28|4|4|NULL
1|29|1|4|NULL
2|2|3|4|NULL
2|4|2|4|NULL
2|5|3|4|NULL
2|6|1|4|NULL
2|7|4|4|NULL
2|8|7|4|NULL
2|9|2|4|NULL
2|10|8|4|NULL
2|11|6|4|NULL
2|13|6|4|NULL
2|14|4|4|NULL
2|15|4|4|NULL
2|16|4|4|NULL
2|17|4|4|NULL
2|18|4|4|NULL
2|19|3|4|NULL
2|20|4|4|NULL
2|21|4|4|NULL
2|22|2|4|NULL
2|23|4|4|NULL
2|24|5|4|NULL
2|25|3|4|NULL
3|1|4|4|NULL
3|2|4|4|NULL
3|3|4|4|NULL
3|4|4|4|NULL
3|5|6|4|NULL
3|6|3|4|NULL
3|7|4|4|NULL
3|8|3|4|NULL
3|9|3|4|NULL
3|10|4|4|NULL
3|11|4|4|NULL
3|12|4|4|NULL
3|13|4|4|NULL
3|14|4|4|NULL
3|15|5|4|NULL
3|16|4|4|NULL
3|17|3|4|NULL
3|18|5|4|NULL
3|19|3|4|NULL
3|20|4|4|NULL
3|21|2|4|NULL
3|22|1|4|NULL
3|23|1|4|NULL
3|24|3|4|NULL
3|25|2|4|NULL
3|26|1|4|NULL
3|27|3|4|NULL
4|1|1|4|NULL
4|2|7|4|NULL
4|3|5|4|NULL
4|4|1|4|NULL
4|5|4|4|NULL
4|7|1|4|NULL
4|8|1|4|NULL
4|9|1|4|NULL
4|11|1|4|NULL
4|12|2|4|NULL
4|13|1|4|NULL
4|14|1|4|NULL
4|15|1|4|NULL
4|18|1|4|NULL
4|19|2|4|NULL
4|20|2|4|NULL
4|21|3|4|NULL
4|22|2|4|NULL
4|23|1|4|NULL
5|1|6|4|NULL
5|2|6|4|NULL
5|3|3|4|NULL
5|4|3|4|NULL
5|5|6|4|NULL
5|6|4|4|NULL
5|7|4|4|NULL
5|8|4|4|NULL
5|9|4|4|NULL
5|10|3|4|NULL
5|11|3|4|NULL
5|12|7|4|NULL
5|13|2|4|NULL
5|14|4|4|NULL
5|15|5|4|NULL
5|16|1|4|NULL
5|17|4|4|NULL
5|18|5|4|NULL
5|19|4|4|NULL
5|20|3|4|NULL
5|21|2|4|NULL
5|22|2|4|NULL
6|1|1|4|NULL
6|2|3|4|NULL
6|3|2|4|NULL
6|4|3|4|NULL
6|5|2|4|NULL
6|6|3|4|NULL
6|7|3|4|NULL
6|8|2|4|NULL
6|9|2|4|NULL
6|10|3|4|NULL
6|11|2|4|NULL
6|12|2|4|NULL
6|13|4|4|NULL
6|14|1|4|NULL
6|15|1|4|NULL
6|17|4|4|NULL
6|18|4|4|NULL
6|19|4|4|NULL
6|20|1|4|NULL
6|21|3|4|NULL
7|1|2|4|NULL
7|2|2|4|NULL
7|3|3|4|NULL
7|4|3|4|NULL
7|5|2|4|NULL
7|6|6|4|NULL
7|7|4|4|NULL
7|8|3|4|NULL
7|9|8|4|NULL
7|10|3|4|NULL
7|11|4|4|NULL
7|12|1|4|NULL
7|13|3|4|NULL
7|14|2|4|NULL
7|15|2|4|NULL
7|16|2|4|NULL
7|18|3|4|NULL
7|19|4|4|NULL
7|20|1|4|NULL
7|21|1|4|NULL
7|23|3|4|NULL
7|24|2|4|NULL
