muestra|Comuna|Fraccion|Radio|Manzana|relevamiento
10017|14|30|1|1|Locales
10046|14|30|1|1|Listado
10017|14|31|1|1|Listado
10039|14|31|1|1|Locales
10026|15|1|1|1|Locales
10030|15|1|1|1|Listado
10024|15|2|1|1|Locales
10050|15|2|1|1|Locales
10017|15|3|1|1|Listado
10034|15|3|1|1|Listado
10017|15|4|1|1|Listado
10046|15|4|1|1|Listado
10017|15|5|1|1|Listado
10046|15|5|1|1|Listado
10017|15|6|1|1|Locales
10046|15|6|1|1|Locales
10017|15|7|1|1|Listado
10049|15|7|1|1|Listado
10024|15|10|1|1|Locales
10050|15|10|1|1|Locales
10017|15|13|10|1|Listado
10046|15|13|10|1|Listado
10027|15|14|11|1|Listado
10017|15|15|6|1|Listado
10035|15|15|6|1|Listado
10017|15|16|1|1|Locales
10039|15|16|1|1|Listado
10024|15|17|4|1|Locales
10050|15|17|4|1|Listado
10027|15|19|1|1|Locales
10030|15|20|1|1|Listado
10034|15|20|1|1|Listado
10024|15|21|1|1|Locales
10050|15|21|1|1|Locales
10018|4|27|1|1|Locales
10029|8|18|1|1|Listado
10040|8|18|1|1|Listado
10017|3|1|12|1|Locales
10041|3|1|12|1|Listado
10017|4|21|13|1|Locales
10045|4|21|13|1|Listado
10017|6|5|13|1|Listado
10038|6|5|13|1|Listado
10017|12|8|12|1|Listado
10043|12|8|12|1|Listado
10017|12|15|14|1|Listado
10046|12|15|14|1|Listado
10017|12|21|11|1|Locales
10046|12|21|11|1|Locales
10017|14|7|10|1|Locales
10046|14|7|10|1|Listado
10018|15|9|10|1|Listado
10026|15|9|10|1|Locales
10017|15|11|14|1|Listado
10046|15|11|14|1|Listado
10026|1|2|21|1|Locales
10036|1|1|1|2|Locales
10026|1|3|1|2|Locales
10030|1|4|2|2|Locales
10017|1|5|1|2|Locales
10039|1|5|1|2|Locales
10014|1|6|1|2|Listado
10047|1|6|1|2|Listado
10017|1|7|2|2|Listado
10039|1|7|2|2|Listado
10017|1|8|2|2|Locales
10035|1|8|2|2|Locales
10017|1|9|3|2|Locales
10039|1|9|3|2|Locales
10017|1|10|3|2|Listado
10047|1|10|3|2|Listado
10030|1|11|2|2|Locales
10012|1|12|2|2|Locales
10047|1|12|2|2|Listado
10049|1|13|1|2|Locales
10017|1|14|1|2|Listado
10032|1|14|1|2|Listado
10039|1|14|1|2|Listado
10017|1|15|1|2|Locales
10047|1|15|1|2|Listado
10017|1|16|9|2|Listado
10039|1|16|9|2|Listado
